iter	Passed	Remaining
932	24074	1728
933	24104	1703
934	24132	1677
935	24166	1652
936	24200	1627
937	24225	1601
938	24254	1575
939	24282	1549
940	24312	1524
941	24348	1499
942	24389	1474
943	24458	1450
944	24502	1426
945	24546	1401
946	24586	1376
947	24619	1350
948	24659	1325
949	24690	1299
950	24725	1273
951	24756	1248
952	24786	1222
953	24817	1196
954	24850	1170
955	24882	1145
956	24920	1119
957	24956	1094
958	24990	1068
959	25023	1042
960	25057	1016
961	25095	991
962	25129	965
963	25165	939
964	25198	913
965	25229	887
966	25263	862
967	25295	836
968	25324	810
969	25364	784
970	25416	759
971	25454	733
972	25514	708
973	25551	682
974	25589	656
975	25628	630
976	25664	604
977	25697	578
978	25730	551
979	25768	525
980	25809	499
981	25849	473
982	25884	447
983	25930	421
984	25961	395
985	25986	368
986	26014	342
987	26049	316
988	26076	290
989	26116	263
990	26172	237
991	26213	211
992	26275	185
993	26321	158
994	26356	132
995	26387	105
996	26417	79
997	26451	53
998	26482	26
999	26511	0
